site_id,priority,clinic,province,district,backhaul_cluster,cluster_tier,rollout_phase,address,latitude,longitude,geocode_source,geocode_confidence,recommended_access_technology,notes,dfa_status,dfa_nearnet_distance_m,dfa_products_available,dfa_reference,checked_date
UNJ-214,3,Thulamahashe,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Thulamahashe Plaza, Section C, Thulamahashe",-24.7388435,31.1966518,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-215,3,Tonga,Mpumalanga,Ehlanzeni,Ehlanzeni Lowveld,1,3,"Tonga Filling Station, Tonga Street, Tonga",-25.6862365,31.7831525,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-228,3,Vaalbank,Mpumalanga,JS Moroka,JS Moroka,4,5,"1545 Ext A, Vaalbank",-25.1518443,28.8586216,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
UNJ-200,3,Violet Bank,Mpumalanga,Bushbuckridge,Ehlanzeni Lowveld,1,3,"Stand F05, London F, Ward 11, Violet Bank",-24.776891,31.0511038,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-223,3,Vukuzakhe,Mpumalanga,Gert Sibande,Gert Sibande,3,4,"Cnr Mavuso & Ibengwana Street, Vukuzakhe",-27.3644028,29.9037781,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-241,3,Bloemhof,North West,Dr Ruth Segomotsi Mompati,NW Far West,4,5,"3250 Gopane Street Ext 10, Coverdale, Bloemhof",-27.6422371,25.5797601,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
UNJ-249,3,Boikhutso,North West,Ngaka Modiri Molema,NW Mahikeng / Zeerust,3,4,"2043 Khudu Street, Boikhutso Location, Lichtenburg",-26.1800422,26.137313,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-233,3,Boitekong,North West,Bojanala,NW Platinum Belt,2,3,"Tlou Street & P16-2, Boitekong Ext 24, Rustenburg",-25.61132,27.2758867,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-250,3,Dinokana,North West,Ngaka Modiri Molema,NW Mahikeng / Zeerust,3,4,"Stand 2653 Itireleng Section, Dinokana",-25.451921,25.867809,CircleTel pilot survey,FIELD-VERIFIED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
UNJ-239,3,Ikageng,North West,Dr Kenneth Kaunda,NW Klerksdorp / Potch,4,5,"Ikageng Gate, Cnr Zinn & Triomf Streets, Potchefstroom",-26.7193508,27.0647583,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
UNJ-251,3,Jouberton,North West,Ngaka Modiri Molema,NW Klerksdorp / Potch,4,5,"15598 Kopanong Drive, Ext 2, Jouberton, Klerksdorp",-26.895262,26.5989283,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,Published district is incorrect - corrected,,,,,
UNJ-252,3,Kanana,North West,Ngaka Modiri Molema,NW Klerksdorp / Potch,4,5,"20657 JD Khumalo Street Ext 13, Kanana, Orkney",-26.9421944,26.6491667,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,Published district is incorrect - corrected,,,,,
UNJ-240,3,Khuma,North West,Dr Kenneth Kaunda,NW Klerksdorp / Potch,4,5,"6670 Mokgethi Street, Khuma, Stilfontein",-26.8481113,26.8594542,Google Places,AUTO-GEOCODED,LTE uncapped; LEO satellite fallback,,,,,,
UNJ-247,3,Ledig,North West,Moses Kotane,NW Platinum Belt,2,3,"Stand 181, Hospital View, Ledig",-25.3714483,27.0505371,Google Places,AUTO-GEOCODED,Tarana FWB 50 Mbps primary; LTE uncapped fallback,,,,,,
UNJ-253,3,Lehurutshe,North West,Ngaka Modiri Molema,NW Mahikeng / Zeerust,3,4,"Lehurutshe Shopping Centre, Lehurutshe Unit 2",-25.4928,25.985706,Google Places,AUTO-GEOCODED,LTE uncapped primary; Tarana where tower LOS exists,,,,,,
